name,description,availability,price,discount_price,sku
RJ-45 connector 2 pcs,"Connectors  RJ-45
Quantity 2
For Networks Cable Cat 5e
Warranty 1 Year",Out of Stock,€0.20,,rj-45-connector-2-pcs
USB 2.0 Type A 4-Pin DIP 90 degree socket connector,"Type: USB 2.0 A
Connector: 4-Pin DIP 90 degree
Warranty 1 Year",Out of Stock,€0.30,,usb-20-type-a-4-pin-dip-90-degree-socket
Power SATA Splitter One To Two Sata Cable 15 PIN,"Connector 1 : Sata male
Connectors 2,3: Sata female
SATA hard disk 15PIN serial port power",Out of Stock,€0.40,€2.10,power-sata-splitter-one-to-two-sata-cable-15-pin
RJ-45 Metalic connector 2 pcs,"Connectors  RJ-45
Quantity 2
Unshielded 6 cat",Out of Stock,€0.50,,rj-45-metalic-connector-2-pcs
D-link Patch cord Cat 6 UTP 0.3 m,"UTP CAT 6 250MHz Bulk cable
Conductor Metal: Solid Bare Copper
Jacket Material: Double sheath, PVC Inner Sheath
UV PVC Outer Sheath
Length 0.3 m
Connector RJ-45 metallic",Out of Stock,€1.20,,d-link-patch-cord-cat-6-utp-03-m
Vention NETWORK Cable CAT6 UTP 1.0m Blue,"Type:Cat6
Conductor:Copper
Length:1.0m
Colour:Blue",Out of Stock,€1.30,,vention-network-cable-cat6-utp-10m-blue
Logilink Cable sleeve 1.8 m,Length 1.8 m,Out of Stock,€1.50,,logilink-cable-sleeve-18-m
Masterlan PCU6-025-MSC patch cable UTP Cat6 0.25 m grey,"Type: Cat6a
Conductor:Copper
Length:0.25m
Colour:Grey",Out of Stock,€1.50,,masterlan-pcu6-025-msc-patch-cable-utp-cat6-025-m-grey
SATA Cable Data signal 6Gb/s HDD SSD,"Interface - SATA 3
Speed 6.0 Gb/s
Length - 40 cm
Color black
Straight or Angled",Out of Stock,€1.80,,sata-cable-data-signal-6gbs-hdd-ssd
RJ-45 Metalic connector 10 pcs,"Connectors  RJ-45
Quantity 10
Unshielded 6 cat",Out of Stock,€2.00,,rj-45-metalic-connector-10-pcs
CMOS battery,"CR2320 Button Cell Lithium Battery
Voltage 3 V",Out of Stock,€2.00,,cmos-battery
Digitus Ethernet Cable CAT5 Black CCA 1.5m,Type:Cat5e|Conductor:CCA|Length:1.5m|Colour:Black,Out of Stock,€2.37,,digitus-ethernet-cable-cat5-black-cca-15m
D-Link Cat6 UTP 24AWG ethernet cable 1m NCB-C6UBLUR1-1,"4 Pairs Unshielded Twisted Pair (UTP) Cat6
Conductor Metal: Bare Copper
Color Code: Blue
Conductor: 24 AWG
Insulation Material: HD-PE",Out of Stock,€2.50,,d-link-cat6-utp-24awg-ethernet-cable-1m-ncb-c6ublur1-1
Power Extension Cable C13 to C14 AK5029 0.6 m,"Connector A: IEC 60320 C13 straight female (x1)
Connector B: IEC 60320 C14 straight male (x1)
Conductor material: Copper
Length 0.6 m",Out of Stock,€2.50,,power-extension-cable-c13-to-c14-ak5029-06-m
TnB Mouse Pad,"Composition : jersey / EVA
Height (mm) : 220
Width (mm) : 255
Collection : ESSENTIAL
Thickness : 5",Out of Stock,€2.50,,tnb-mouse-pad-3303170016640
D-Link Cat5e UTP 24AWG ethernet cable 2m NCB-5EUBLUR1-2,"4 Pairs Unshielded Twisted Pair (UTP) Cable
Conductor Metal: Bare Copper
Color Code: Blue/Gray
Conductor: 24 AWG
Insulation Material: HD-PE",Out of Stock,€2.60,,d-link-cat5e-utp-24awg-ethernet-cable-2m-ncb-5eublur1-2
Digitus Ethernet Cable CAT6 Yellow CU 0.25m,Type:Cat6|Conductor:Copper|Length:0.25m|Colour:Yellow,Out of Stock,€2.61,,digitus-ethernet-cable-cat6-yellow-cu-025m
Digitus Ethernet Cable CAT6 Grey CU 0.25m,Type:Cat6|Conductor:Copper|Length:0.25m|Colour:Grey,Out of Stock,€2.61,,digitus-ethernet-cable-cat6-grey-cu-025m
Digitus Ethernet Cable CAT6 UTP Black CU 0.25m,Type:Cat6|Conductor:Copper|Length:0.25m|Colour:Black,Out of Stock,€2.61,,digitus-ethernet-cable-cat6-utp-black-cu-025m
Digitus Ethernet Cable CAT6 Blue CU 0.25m,No description available,Out of Stock,€2.61,,digitus-ethernet-cable-cat6-blue-cu-025m
AV:link 3.5mm Stereo to 3.5mm Stereo 1.2m 112.036UK,Type:3.5mm to 3.5mm|Length:1.2m,Out of Stock,€2.70,,av-link-35mm-stereo-to-35mm-stereo-12m-112036uk
AV:link 3.5mm to 2RCA 1.2m 112.064UK,Type:3.5mm to 2RCA|Length:1.2m,Out of Stock,€2.70,,av-link-35mm-to-2rca-12m-112064uk
Mercury IEC Extension Lead 0.5m Bag 114.049UK,Type:IEC extension|Length:0.5m,Out of Stock,€2.79,,mercury-iec-extension-lead-05m-bag-114049uk
Mouse Pad Alcatroz Xcraft,"Moderate surface friction
Perfect for Office or Home Use
Made of pure Natural rubbercloth
Smooth mouse movement and anti slippery
Soft Material &amp; comfortable
Dimensions: 22x18x0.3 cm",Out of Stock,€2.80,,mouse-pad-alcatroz-xcraft--4715302442330
Unitek Y-C449GBK USB-A Male to USB-A Female Extension...,Cable Type:USB|USB Type:USB-A to USB-A Extension|USB Version:2.0|Length:1.5m,Out of Stock,€2.85,,unitek-y-c449gbk-usb-a-male-to-usb-a-female-extension-cable-15m
Unitek Y-C430GBK USB 2.0 Cable A-B 1.0m,Cable Type:USB|USB Type:USB-A to USB-B|USB Version:2.0|Length:1.0m,Out of Stock,€2.85,,unitek-y-c430gbk-usb-20-cable-a-b-10m
"D-link Patch cord Cat 6 UTP 1,5 m","UTP CAT 6 250MHz Bulk cable
Conductor Metal: Solid Bare Copper
Jacket Material: Double sheath, PVC Inner Sheath
UV PVC Outer Sheath
2 m Length
Connector RJ-45 metallic",Out of Stock,€2.90,,d-link-patch-cord-cat-6-utp-15-m
Stock cable HDMI  HDMI  1.5 m,"HDMI 1.4 version
Connect between HDMI source to HDMI display
Cable Length: 1.5 m
Male to male connectors",Out of Stock,€2.90,,stock-cable-hdmi-hdmi-15-m
Unitek Network Modular Keystone CAT6 90 degree T012A,This Cat 6 modular keystone,Out of Stock,€2.94,,unitek-network-modular-keystone-cat6-90-degree-t012a
Orico 3.5 Inch Tool Free HDD Enclosure,"HDD Type3.5 inch
Max Capacity 8TB
USB 3.0 Type-A to Type-B",Out of Stock,€3.00,€20.00,orico-35-inch-tool-free-hdd-enclosure
Inline USB A to USB B MM Printer Cable 34520X,"Cable plug &amp; play for connecting  Printers, Scanners &amp; other USB peripherals. Cables provide transfer rates up to 480Mbps
Cord Length: 2 m
Interface: USB 2.0
Standart Plug &amp; play",Out of Stock,€3.00,,inline-usb-a-to-usb-b-mm-printer-cable-34520x
Unitek Y-1039 USB3.0 to SATA 2.5-3.5'' HDD Converter incl...,"Size: 2.5""-3.5""
Interface: SATA
Housing Material: ABS
USB Type: USB-A
USB Version: USB 3.0
Transfer Speed: 5Gbps",Out of Stock,€3.00,€19.80,unitek-y-1039-usb30-to-sata-25-35-hdd-converter-incl-12v2a-psu-4894160003768
TP Link 8-Port TL-SG1008D,"Product: Switch
Type: Unmanaged
Specification:AUTO Negotiation/AUTO MDI/MDIX and Plug-and-play installation
Warranty:3 years",Out of Stock,€3.00,€24.00,tp-link-8-port-tl-sg1008d
Audio Extension cable Jack 3.5 mm to 2 RCA,"Connector 1: 3.5mm Stereo Jack Female
Connector 2: 2 x RCA male
Length 20 cm",Out of Stock,€3.00,,audio-extension-cable-jack-35-mm-to-2-rca-4043718063673
Audio Extension Jack to x2 RCA,3.5mm Stereo Jack male to 2 x RCA male,Out of Stock,€3.00,,audio-extension-jack-to-x2-rca
VGA 15 Pin Male To Male Cable 1.8 m,"Length: 1.8 Meter
VGA Male-to-Male Cable
Connector A: D-Sub 15 pin male
Connector B: D-Sub 15 pin male",Out of Stock,€3.00,,vga-15-pin-male-to-male-cable-18-m
Unitek Y-C4001GBK USB Cable A-B 2.0m,Cable Type:USB|USB Type:USB-A to USB-B|USB Version:2.0|Length:2.0m,Out of Stock,€3.00,,unitek-y-c4001gbk-usb-cable-a-b-20m
Inline 4 pin PWM to Molex FAN CABLE,"PWM fan power y-cable, 4pin. to Molex
PWM connector. Length ~ 0.15m",Out of Stock,€3.00,,inline-4-pin-pwm-to-molex-fan-cable-
UGO UPO-1426 Mouse Pad,"Material: Rubber
Size: 270 x 245x 2 (mm)",Out of Stock,€3.00,,ugo-upo-1426-mouse-pad
Molex - 2 x Molex Adapter,INTERNAL POWER ADAPTER Connector 1: Molex FConnector 2: 2 x Molex M,Out of Stock,€3.00,,molex-2-x-molex-adapter
Mercury Multi-Test Screwdriver 710.025UK,No description available,Out of Stock,€3.00,,mercury-multi-test-screwdriver-710025uk
Adjustable Anti Static ESD Wrist Strap Discharge Band...,"Quality Anti Static ESD Wrist Strap Discharge Band Grounding Prevent Static Shock
Colour Blue",Out of Stock,€3.00,,adjustable-anti-static-esd-wrist-strap-discharge-band-grounding-prevent-static-shock-bracelet
Digitus Ethernet Cable CAT6 Green CU 0.5m,Type:Cat6|Conductor:Copper|Length:0.5m|Colour:Green,Out of Stock,€3.13,,digitus-ethernet-cable-cat6-green-cu-05m
Kuwes Patch Cable CAT6 Pure Copper Grey 0.25m,Type:Cat6|Conductor:Copper|Length:0.25m|Colour:Grey,Out of Stock,€3.23,,kuwes-patch-cable-cat6-pure-copper-grey-025m
Unitek HC HDMI Coupler F-F 4K Black A1013BK,"Upstream: HDMI Female
Downstream: HDMI Female",Out of Stock,€3.30,,unitek-hc-hdmi-coupler-f-f-4k-black-a1013bk
Unitek Y-C438GBK Micro-USB Male to USB-A Female OTG 20cm,Input:Micro-USB|USB Version:2.0,Out of Stock,€3.32,,unitek-y-c438gbk-micro-usb-male-to-usb-a-female-otg-20cm
Lanberg Sata III 6Gbps Cable 70cm Black,Transfer Speed:SATA III 6Gbps,Out of Stock,€3.32,,lanberg-sata-iii-6gbps-cable-70cm-black
Mercury Soft Grip Reversible Screwdriver 710.215UK,No description available,Out of Stock,€3.33,,mercury-soft-grip-reversible-screwdriver-710215uk
